"year","month","total_songs","total_minutes","unique_songs","unique_artists","unique_genre","avg_bpm","sd_bpm","avg_nrgy","sd_nrgy"
2019,9,1491,3905.8250500000095,757,402,55,124.62895927601808,27.99656787415562,62.68099547511311,19.580135330843824
2019,10,1196,3428.545699999993,546,234,20,116.86140350877193,26.362087694689205,64.70877192982455,17.172118251336244
2019,11,826,2325.9147166666676,545,318,56,120.52352941176473,26.39704460622706,64.90196078431373,21.362301684963686
2019,12,795,2103.5140499999998,549,323,44,118.30788177339903,28.848027288967263,63.278325123152705,21.54819744178919
2020,1,461,1298.6313333333346,344,202,33,125.14545454545456,28.82682891040673,67.52727272727275,19.648976631896705
2020,2,698,1678.1300333333327,463,253,56,123.07391304347827,27.75646843909158,65.75869565217391,20.3690469185243
2020,3,835,2477.282633333336,538,274,35,117.52365930599369,24.489927699342086,63.274447949526824,18.69044322137291
2020,4,241,771.5107666666667,190,115,13,122.52702702702703,23.438186248129337,76.72972972972973,13.640488981410485
2020,5,187,504.44211666666644,147,71,9,130.1590909090909,25.167294374466998,71.25,18.01824011229138
2020,6,185,422.2317333333333,130,56,8,119.10144927536231,29.82505112048093,63.28985507246377,16.491621267707753
2020,7,661,1920.8549500000004,375,57,12,123.01834862385321,29.190619260359345,59.42201834862385,19.757930230660804
2020,8,560,1628.636716666668,463,242,45,124.98713826366559,26.609842258267015,70.19935691318327,18.49460600277844
2020,9,151,392.2603333333333,130,32,4,111.89285714285714,28.61926220768399,59.285714285714285,18.36029763104425
2020,10,9,27.388483333333333,9,2,1,NA,NA,NA,NA
2020,11,90,198.86716666666663,65,52,10,125.69444444444444,27.11147508670732,70.25,17.17330880207037
2020,12,280,543.8913333333333,194,106,21,121.93167701863354,26.321598598774944,65.03726708074534,18.37249581533418
2021,1,206,435.96023333333346,116,63,14,118.43589743589743,26.740498855748353,69.91025641025641,14.710351419814511
2021,2,1007,1305.306183333334,652,384,27,123.40836653386455,28.679079318207492,67.40637450199205,17.34452461542022
2021,3,440,1347.061200000002,270,105,14,114.07906976744187,26.786422126621865,64.48837209302326,17.06470929762068
2021,4,391,1167.2231166666668,220,64,11,118.52941176470588,28.32509501433923,61.18627450980392,15.587333263279255
2021,5,522,1464.0275833333328,312,169,35,120.87285223367698,28.37727937268355,64.17869415807561,18.91876535154521
2021,6,186,453.7339999999999,105,57,6,116.40336134453781,25.49387408230172,58.94117647058823,19.695690881057036
2021,7,582,1517.9457166666682,452,242,39,118.590625,28.007241107740068,65.246875,19.364956948102943
2021,8,311,986.42995,209,109,13,110.05376344086021,24.125741976153883,57.032258064516135,25.491879189819073
2021,9,667,1715.8739666666659,412,231,40,124.98172323759793,32.24476385361753,63.90339425587467,18.71943761093826
2021,10,1132,3102.2755999999968,637,342,40,118.74155069582507,29.461785687857528,61.25248508946319,22.117529886363414
2021,11,1694,5866.060950000008,501,164,19,113.47867298578198,22.188102569215392,49.88862559241707,21.221026938623755
2021,12,1144,3543.23779999999,513,215,13,113.88450704225352,33.57646912741447,49.552112676056325,19.885533020014655
2022,1,1315,4100.376433333325,601,224,27,116.0140562248996,31.848007420761714,52.72489959839356,22.62169465144863
2022,2,1241,4036.489066666673,727,325,36,117.26410256410256,30.006760053952316,57.3923076923077,24.2022846721092
2022,3,1099,2320.843599999999,619,367,58,119.28742514970061,30.020952562510512,62.81586826347307,23.016529872483513
2022,4,912,2601.8950999999997,526,248,24,124.74632352941177,25.554622513767278,65.05514705882354,22.33030908960585
2022,5,1124,3388.7711333333323,562,224,29,121.82420091324201,29.955171062563775,57.52968036529679,23.042648457860054
2022,6,667,1943.2532499999995,375,214,23,114.788,29.470273907391945,55.30800000000001,20.758438938142596
2022,7,994,2023.36765,596,420,44,120.21739130434784,26.3280862001079,63.16425120772949,19.386899980200845
2022,8,445,1303.9808500000004,292,145,33,121.88764044943821,28.10069362143176,60.310861423220985,19.947788851956204
2022,9,647,1850.370266666667,314,242,13,119.36986301369862,26.29701189005002,53.6917808219178,24.085776004780982
2022,10,1285,4399.556183333347,410,199,18,120.50170648464163,25.203639736792923,43.54948805460749,27.401913018360272
2022,11,1089,3269.562516666666,544,375,27,119.24501424501423,26.47850496291708,41.954415954415964,27.60223959108447
2022,12,2184,5366.276733333351,885,534,40,122.47789115646258,26.829282757137015,54.36394557823127,27.692892206919918
2023,1,835,2246.8678666666638,451,252,22,120.48360655737704,25.156377949702332,42.40983606557376,30.304966820057484
2023,2,1886,5106.321483333326,1174,812,33,120.94959677419355,24.67910169441226,59.45564516129034,28.858590240932376
2023,3,1616,4353.00971666668,903,574,31,118.42293906810035,27.589455820936,62.33512544802868,20.506702129071062
2023,4,693,1934.8691499999975,470,322,43,113.95128205128205,26.65383511565802,63.46666666666667,19.48587694129725
2023,5,907,2146.5155500000033,612,378,50,120.938900203666,27.664910619850268,64.89613034623218,20.61135523411931
2023,6,874,2237.721566666667,478,300,33,129.19777158774372,34.033378219170906,64.66852367688023,16.028218335482986
2023,7,1480,4398.606183333337,724,294,34,128.30218978102192,32.876929083448196,65.10802919708028,18.698594477600235
2023,8,1681,4045.513616666662,944,631,33,133.94269340974213,31.50656079587977,68.09169054441261,18.001681427100433
2023,9,919,2334.60868333333,606,387,31,128.692,30.041021752793426,61.291999999999994,17.897486305742966
2023,10,1190,2964.357750000012,689,468,23,123.06274509803922,27.80677111772997,59.72941176470589,16.410857915618937
2023,11,1174,2774.002016666665,696,478,14,119.8,30.12659563750745,60.27317073170732,13.32892741647463
2023,12,1218,2590.752816666662,708,472,46,126.03030303030305,28.768487374223657,60.27985739750446,19.056638437853007
2024,1,1461,2750.3888500000044,695,502,53,123.05061082024432,26.508394642345994,62.49214659685864,17.80956050017071
2024,2,705,1421.2745833333308,466,332,33,122.19626168224298,29.136137114952415,61.05607476635514,16.439186287477632
2024,3,562,1319.574950000002,422,300,20,128.3939393939394,30.44140652692921,61,13.630131613630077
2024,4,938,2763.543349999998,364,202,23,136.3968253968254,27.8603745123678,55.92460317460316,16.96558121777858
2024,5,896,2424.6502,557,312,27,130.51190476190476,29.37550299887831,57.273809523809526,17.34580412917997
2024,6,627,1680.6681499999988,370,187,24,128.93103448275863,29.286678010350098,58.025862068965516,13.652116342856926
2024,7,777,1861.3578499999985,493,266,38,125.63610315186246,29.056563204045815,60.21776504297994,18.53836111746797
2024,8,232,563.0544666666668,192,89,5,126.79545454545455,29.619744785935147,58.43181818181818,15.332588378508634
2024,9,440,1150.1735499999993,329,149,30,125.73282442748092,30.927879133572297,61.667938931297705,16.397377452098894
2024,10,447,1029.122733333333,242,83,12,122.5284090909091,28.625449012527852,57.73295454545454,15.695030853951625
2024,11,366,908.3350499999985,230,137,13,117.65734265734265,23.21337184308693,55.79020979020978,17.474671064970508
2024,12,363,1063.3465833333332,186,91,13,126.43617021276596,28.816609333674027,56.62234042553192,14.771736665632277
2025,1,1542,4750.254816666673,616,221,12,123.83457249070631,28.07041813389461,55.69144981412639,14.24439389016682
2025,2,1770,5088.1657000000005,901,377,43,126.70580645161289,28.643286929718823,62.67096774193546,16.69993179418652
2025,3,390,1092.7154333333324,256,137,23,121.74285714285715,25.039213908769778,63.285714285714285,15.206190943867119
